SMC0263  0.11  0.475  7.80      1  0 57 31 -72 15 52 11.79  0.11 L56,S26,SOGLE109
SMC0264  0.11  0.263  7.60      1  0 57 46 -72 42 21 12.71  0.11 H86-178,SOGLE110
SMC0270  0.08  0.275  8.30      1  0 57 53 -72 29 48 11.90  0.11 H86-176
SMC0271  0.02  0.500 >9.00      3  0 57 47 -74 19 36 14.95  0.13 K37,L58
SMC0272  0.08  0.200  7.60      1  0 57 55 -72 17 28 12.18  0.11 B90
SMC0273  0.08  0.500  8.80      2  0 57 52 -73 32 43 15.82  0.11 HW34
SMC0275  0.10  0.300  7.30      3  0 58 14 -72 00 14 13.60  0.11 B92
SMC0276  0.12  0.700  8.90      1  0 58 08 -73 55 58 13.80  0.12 B91
SMC0278  0.10  0.325  7.40      1  0 58 19 -72 17 57 12.82  0.11 H86-181,SOGLE228
SMC0280  0.10  0.425  8.25      1  0 58 42 -73 35 02 13.07  0.11 HW35
SMC0285  0.13  0.375  8.05      1  0 59 15 -71 46 08 13.45  0.12 HW37
SMC0286  0.12  0.475  8.30      1  0 59 14 -72 36 29 13.93  0.11 B96,SOGLE117
SMC0287  0.07  0.375  8.20      1  0 59 31 -71 40 10 14.51  0.12 HW39
SMC0288  0.07  0.400  8.80      1  0 59 25 -73 49 02 14.67  0.11 HW38
SMC0291  0.05  0.750  8.20      1  0 59 48 -72 20 02 11.58  0.11 IC1611,K40,L61,ESO29SC27
SMC0292  0.10  0.300  8.20      1  0 59 57 -72 22 24 13.58  0.11 H86-186,SOGLE119
SMC0293  0.13  0.500  8.00      1  1 00 01 -72 22 08 12.02  0.11 IC1612,K41,L62,ESO29SC28
SMC0294  0.05  0.450 >9.00      3  1 00 25 -71 17 41 15.69  0.13 HW40
SMC0295  0.03  0.325  8.10      1  1 00 23 -72 05 05 13.72  0.12 B100
SMC0297  0.10  0.600 >9.00      3  1 00 35 -71 27 39 16.57  0.12 HW41
SMC0300  0.01  0.200 <7.9       3  1 00 33 -72 15 31 14.94  0.12 H86-190,SOGLE230
