NGC0628            01 36 41.3 +15 47 12 25.40 20  64 0.01 -19.8 23.5 10.31 10.08   9.44  827 -0.3 UGC01171        -0.2 -0.54
UGC01171           01 39 41.6 +15 54 11  2.91 26   8 0.00 -13.9 24.8  7.80  7.39   8.06  906  2.2 NGC0628          2.2  1.07
DDO013             01 40 09.6 +15 54 17 12.64 44  18 0.00 -15.7 26.1  8.53  8.68   8.66  798 -1.4 NGC0628         -1.2 -1.79
AGC112521          01 41 07.9 +27 19 26  1.18 67   5 0.00 -11.5 25.1  6.87  6.58   6.81  476 -0.9 NGC0672         -0.5  0.62
KK13               01 42 16.8 +26 22 04  1.58 65  11 0.00 -13.1 24.2  7.49  7.33   7.20  556  0.7 NGC0672          1.0  0.62
KDG010             01 43 41.4 +15 41 23  3.49 55  13 0.00 -13.5 25.5  7.66  7.81   7.72  953  0.0 NGC0628          0.0  1.07
KK14               01 44 42.7 +27 17 16  1.71 90   7 0.00 -12.1 25.4  7.10  6.95   7.56  619  1.8 NGC0672          2.1  0.62
ESO245-005         01 45 03.6 -43 35 53  4.95 30  51 0.01 -15.6 24.2  8.50  9.18   8.58  307 -0.6 NGC0253         -0.5 -0.32
KK15               01 46 41.6 +26 48 05  1.28 90   3 0.00 -11.4 25.4  6.82  5.97   7.05  563  2.0 IC1727           2.2  0.63
IC1727             01 47 30.1 +27 19 52 14.97 70  60 0.21 -17.8 24.4  9.46  9.79   8.87  533  4.0 NGC0672          4.0  0.42
NGC0672            01 47 53.2 +27 26 01 15.68 71  96 0.44 -18.8 23.5  9.65 10.22   9.23  626  3.8 IC1727           3.8  0.24
UGC01281           01 49 32.3 +32 35 33  7.88 85  54 0.26 -16.1 24.7  8.52  9.42   8.22  367 -1.1 NGC0784         -0.9 -0.59
Phoenix            01 51 06.3 -44 26 41  0.71 35     0.00  -9.6 26.0  6.08       < 5.22 -145  0.7 Milky Way        0.8  1.74
KK16               01 55 20.6 +27 57 15  2.15 90   3 0.00 -12.7 25.3  7.32  6.19   6.84  400 -1.5 NGC0784         -1.1 -0.39
KK17               02 00 09.9 +28 49 57  1.46 72   3 0.00 -11.5 25.6  7.00  6.07   6.74  360  1.1 NGC0784          1.1 -0.36
NGC0784            02 01 16.8 +28 50 37  9.52 79  39 0.00 -16.5 24.7  8.60  9.23   8.46  385 -0.5 KK17            -0.4 -0.66
UGC1561            02 04 05.0 +24 12 28  5.28 34  26 0.00 -15.1 24.8  8.31  8.63   7.63  782 -0.7 NGC0672         -0.3  0.61
Cas1               02 06 07.9 +69 00 36  5.39 45  29 0.00 -16.7 23.3  8.76  8.73   8.11  284  0.5 IC0342           0.7  1.86
UGC01703           02 12 55.8 +32 48 51  1.05 72     0.00 -11.5 24.9  7.56       < 6.30      -1.3 Maffei2         -0.8 -0.38
NGC0855            02 14 03.7 +27 52 38  8.91 85  41 0.02 -17.0 24.1  9.37  9.24   8.45  770 -1.0 NGC0925         -0.7
Segue 2            02 19 16.0 +20 10 31  0.07 39     0.00  -2.3 28.2  3.88               112  3.8 Milky Way        3.8  1.74
NGC0891            02 22 32.8 +42 20 48 37.89 82 218 1.02 -20.5 23.7 10.96 11.32   9.64  736 -0.9 NGC1023         -0.5 -0.09
KKH11              02 24 35.0 +56 00 42  2.24 68  40 0.00 -13.3 24.7  7.64  8.61   7.66  528  1.3 Maffei1          1.7  1.86
[KK2000] 03        02 24 42.7 -73 30 46  3.01 90     0.00 -12.3 26.4  8.21       < 6.28      -0.8 NGC1313         -0.6  0.27
DDO019             02 25 00.2 +36 02 16  6.10 46  53 0.04 -14.4 25.9  8.00  9.30   8.32  771  0.3 NGC0925          0.5  1.05
d0226+3325         02 26 52.8 +33 25 37  4.80 26  36 0.00 -12.7 27.1  7.32  8.85   8.00  705  3.7 NGC0925          3.7  1.03
NGC0925            02 27 16.0 +33 34 41 33.32 57 107 0.28 -19.9 24.1 10.12 10.65   9.58  738  0.9 d0226+3325       1.0  0.53
Halogas            02 27 20.0 +33 57 30  1.23 47  10 0.00 -12.2 24.6  7.12  7.12   7.12  714  2.8 NGC0925          2.8  1.03
KKH12              02 27 27.0 +57 29 16  2.97 90  20 0.00 -13.0 25.7  7.67  8.14   7.23  303  1.9 Maffei1          2.1  1.86
DDO022             02 32 54.0 +38 40 50  4.69 90  22 0.00 -14.4 25.3  8.01  8.41   8.05  765  0.2 NGC0891          0.4  1.79
DDO025             02 33 18.2 +33 29 28  7.57 23  33 0.00 -16.3 24.4  8.87  8.97   8.41  785  1.2 NGC0925          1.2  1.01
DDO024             02 33 43.0 +40 31 41  7.80 36  33 0.00 -16.5 24.3  8.96  9.00   8.73  780  1.0 NGC0891          1.0  1.73
MB1                02 35 35.6 +59 22 47  2.25 87  21 0.00 -13.8 24.3  8.23  8.04   7.27  421  4.6 Maffei1          4.6  1.86
Maffei1            02 36 35.5 +59 39 18 10.48 39     0.00 -19.0 22.4 10.22               298  2.6 MB1              2.6  1.80
ESO115-021         02 37 45.0 -61 20 28  9.95 90  53 0.28 -15.5 25.8  8.73  9.50   8.56  339 -1.5 NGC0253         -1.0 -0.25
Fornax             02 39 54.7 -34 31 33  0.72 58     0.00 -11.5 24.1  7.55       < 5.19  -56  2.1 Milky Way        2.2  1.74
Maffei2            02 41 54.5 +59 36 11 14.28 63 159 0.46 -20.1 22.0 10.67 10.62   8.78  214  2.4 Dw1              2.4  1.67
UGC02172           02 42 10.8 +43 21 19  4.13 61  29 0.00 -15.7 23.7  8.32  8.62   7.87  765  0.3 NGC0891          0.4  1.71
AGC122226          02 46 38.9 +27 43 35  2.32 67   9 0.00 -13.1 25.0  7.50  7.30   7.55  625 -1.2 NGC0925         -0.8  0.06
Dw2                02 54 08.5 +59 00 19  2.55 90  44 0.05 -14.6 23.8  8.35  8.75   8.01  316  2.8 MB3              2.9  1.87
MB3                02 55 43.6 +58 51 42  4.47 90   3 0.00 -13.7 25.9  8.09  6.51   7.78  281  3.0 Dw2              3.1  1.87
ESO154-023         02 56 50.4 -54 34 23 12.72 83  53 0.25 -16.3 25.5  8.89  9.62   9.09  408 -1.5 NGC0253         -1.1 -0.22
Dw1                02 56 56.1 +58 54 42  6.30 52 105 0.20 -18.8 21.5 10.36  9.91   8.54  333  2.7 Maffei2          2.7  1.78
ESO199-007         02 58 04.1 -49 22 57  2.01 90  23 0.00 -12.7 25.1  7.35  8.10   7.32  479 -1.2 NGC1291         -1.0 -0.78
NGC1156            02 59 42.4 +25 14 15  9.21 32  55 0.03 -18.1 23.0  9.31  9.51   8.82  507 -0.3 LV J0300+2546   -0.3 -1.53
LV J0300+2546      03 00 39.3 +25 46 56  1.05 33   5 0.00 -12.7 23.7  7.34  6.41   6.20  443  1.6 NGC1156          1.6  0.07
KKH18              03 03 05.9 +33 41 40  1.07 65  13 0.00 -12.4 24.1  7.21  7.33   7.07  374 -1.4 Maffei2         -0.9 -1.69
ESO300-014         03 09 37.8 -41 01 50 19.96 60  66 0.16 -17.1 25.7  9.30 10.00   8.65  824 -0.1 NGC1291          0.0
ESO300-016         03 10 10.5 -40 00 11  3.72 50  18 0.00 -14.2 24.9  7.94  8.12   7.86  583  1.7 NGC1291          1.7  1.69
NGC1291            03 17 18.6 -41 06 29 37.35 25  37 0.00 -20.4 23.8 10.94  9.77   8.98  702 -1.3 ESO300-016      -0.8 -1.31
NGC1313            03 18 15.4 -66 29 51 16.37 37 120 0.12 -19.0 23.4  9.52 10.44   9.24  264 -0.9 KK27            -0.7 -1.02
NGC1311            03 20 07.4 -52 11 06  6.83 78  36 0.00 -15.3 25.2  8.38  9.02   7.99  399 -1.2 ESO154-023      -0.9 -0.05
UGC02684           03 20 23.7 +17 17 42  4.07 72  36 0.00 -13.4 26.0  7.57  8.79   7.92  438 -0.1 UGC02716        -0.1 -0.91
KK27               03 21 03.0 -66 19 11  1.40 90   3 0.00 -11.8 25.2  6.98  6.01   5.87  327  1.6 NGC1313          1.6  0.29
UGC02716           03 24 07.2 +17 45 15  3.28 57  21 0.00 -15.0 23.9  8.34  8.21   7.68  467 -0.8 UGC02684        -0.8 -1.68
UGC02773           03 32 07.1 +47 47 37  3.16 47  48 0.03 -16.1 22.7  8.95  8.94   8.23  395 -1.6 IC0342          -1.1
IC1959             03 33 11.8 -50 24 38  6.84 79  57 0.26 -16.0 24.5  8.47  9.41   8.36  465 -1.5 NGC1291         -1.1 -0.24
PGC013294          03 35 56.8 -45 11 29  1.43 41     0.00 -13.4 23.7  7.62       < 7.18  582 -0.2 NGC1291         -0.2
NGC1400            03 39 30.8 -18 41 17 26.71 36     0.00 -20.3 23.1 10.98               496 -2.3 NGC1398         -1.8
KKH22              03 44 56.6 +72 03 52  1.49 70     0.00 -11.4 25.8  6.80       < 6.46       1.1 IC0342           1.2  1.55
KK35               03 45 12.6 +67 51 50  3.91 54     0.00 -14.3 25.0  7.97               149  2.4 IC0342           2.4  1.87
IC0342             03 46 48.9 +68 05 45 34.25 25 189 0.07 -20.7 23.3 10.60 11.15  10.16  244  0.1 Maffei2          0.5  1.71
UGC02905           03 57 00.6 +16 31 28  2.23 62  18 0.00 -14.4 23.6  8.02  7.93   7.56  344 -2.1 NGC0253         -1.6
UGCA086            03 59 49.5 +67 07 31  9.14 47     0.00 -17.9 23.2  9.13               280  1.1 IC0342           1.3  1.86
IC2038             04 08 54.1 -55 59 32 11.14 79     0.00 -16.5 25.1  9.08               505  1.9 NGC1533          1.9  1.66
NGC1533            04 09 51.8 -56 07 06 20.17 37 186 0.15 -19.9 23.0 10.85 10.91   9.76  577  0.2 IC2038           0.3  0.85
ESO483-013         04 12 41.1 -23 09 32  3.49 68  34 0.00 -15.5 23.5  8.72  8.68   7.63  780 -1.6 NGC1291         -1.3
CamA               04 25 15.6 +72 48 21  5.07 65  16 0.00 -14.1 25.8  7.88  8.18   8.22  156  0.0 IC0342           0.2  1.38
NGC1592            04 29 40.8 -27 24 31  3.75 75  33 0.00 -15.5 23.7  8.17  8.68   7.99  798 -1.5 NGC1291         -1.1
NGC1569            04 30 49.1 +64 50 53  5.77 60  51 0.08 -18.1 22.0  9.37  9.23   8.27  106  0.9 IC0342           1.1  1.86
UGCA092            04 32 00.3 +63 36 50  3.56 72  25 0.00 -15.6 23.5  7.98  8.41   8.17   93  1.6 NGC1569          1.7  1.87
NGC1560            04 32 49.9 +71 52 52 10.84 90  52 0.26 -16.7 24.8  8.72  9.53   9.03  170  1.0 IC0342           1.0  1.41
NGC1637            04 41 28.2 -02 51 29 12.12 39 133 0.14 -18.7 23.1 10.07 10.40   9.01  646 -2.1 UGC03174        -1.7 -0.44
