|              Name | RAh | RAm |  RAs | DE- | DEd | DEm | DEs | TT |  SFRa |  KLum |                 DM |                Dist | n_clust |      reference |
|          NGC 6396 |  17 |  37 | 37.0 |   - |  35 |   1 |   3 | 99 | -99.0 | -99.0 | 10.337214213881902 |               1.168 |       1 |   heasarc_mwsc |
|     Collinder 367 |  18 |   9 | 38.0 |   - |  23 |  42 |   0 | 99 | -99.0 | -99.0 | 10.340929308730809 |                1.17 |       1 |   heasarc_mwsc |
|          FSR 0777 |   5 |  27 | 37.0 |   + |  34 |  44 |   9 | 99 | -99.0 | -99.0 | 10.346490060577647 |               1.173 |       1 |   heasarc_mwsc |
|          FSR 0052 |  18 |  32 |  5.0 |   - |  15 |  41 |   2 | 99 | -99.0 | -99.0 | 10.346490060577647 |               1.173 |       1 |   heasarc_mwsc |
|          NGC 2353 |   7 |  14 | 30.0 |   - |  10 |  15 |   0 | 99 | -99.0 | -99.0 | 10.359410036530628 |                1.18 |       1 |   heasarc_mwsc |
|     Dutra-Bica 58 |  17 |  45 |  4.0 |   - |  28 |  50 |   9 | 99 | -99.0 | -99.0 | 10.363087382726183 |               1.182 |       1 |   heasarc_mwsc |
|          FSR 1194 |   7 |   4 | 23.0 |   - |  12 |   0 |   3 | 99 | -99.0 | -99.0 | 10.366758511934504 |               1.184 |       1 |   heasarc_mwsc |
|          NGC 6242 |  16 |  55 | 34.0 |   - |  39 |  27 |   6 | 99 | -99.0 | -99.0 | 10.366758511934504 |               1.184 |       1 |   heasarc_mwsc |
|          NGC 6383 |  17 |  34 | 44.0 |   - |  32 |  34 |   6 | 99 | -99.0 | -99.0 | 10.366758511934504 |               1.184 |       1 |   heasarc_mwsc |
|     Collinder 111 |   6 |  38 | 50.0 |   + |   6 |  54 |   9 | 99 | -99.0 | -99.0 | 10.379558807413886 |               1.191 |       1 |   heasarc_mwsc |
|          Ivanov 8 |   8 |  19 | 10.0 |   - |  35 |  39 |   0 | 99 | -99.0 | -99.0 | 10.385021633966751 |               1.194 |       1 |   heasarc_mwsc |
|          NGC 6531 |  18 |   4 | 12.0 |   - |  22 |  29 |   4 | 99 | -99.0 | -99.0 | 10.385021633966751 |               1.194 |       1 |   heasarc_mwsc |
|        ESO 130-06 |  12 |   7 | 52.0 |   - |  59 |  18 |   0 | 99 | -99.0 | -99.0 | 10.392284090266465 |               1.198 |       1 |   heasarc_mwsc |
|          NGC 1960 |   5 |  36 | 20.0 |   + |  34 |   9 |   5 | 99 | -99.0 | -99.0 | 10.395906230238124 |                 1.2 |       1 |   heasarc_mwsc |
|          FSR 1117 |   6 |  16 | 31.0 |   - |   8 |  56 |   7 | 99 | -99.0 | -99.0 | 10.412131504303858 |               1.209 |       1 |   heasarc_mwsc |
|          NGC 5281 |  13 |  46 | 34.0 |   - |  62 |  55 |   5 | 99 | -99.0 | -99.0 | 10.415720715715262 |               1.211 |       1 |   heasarc_mwsc |
|          NGC 6613 |  18 |  19 | 59.0 |   - |  17 |   6 |   6 | 99 | -99.0 | -99.0 | 10.419304004332865 |               1.213 |       1 |   heasarc_mwsc |
|   IRAS 17301-2917 |  17 |  33 | 20.0 |   - |  29 |   9 |   9 | 99 | -99.0 | -99.0 | 10.422881389671655 |               1.215 |       1 |   heasarc_mwsc |
|  vdBergh-Hagen 54 |   8 |  49 | 41.0 |   - |  44 |  22 |   0 | 99 | -99.0 | -99.0 | 10.465356531880317 |               1.239 |       1 |   heasarc_mwsc |
|        ESO 064-05 |  12 |  24 | 43.0 |   - |  68 |  29 |   1 | 99 | -99.0 | -99.0 | 10.465356531880317 |               1.239 |       1 |   heasarc_mwsc |
|          FSR 0902 |   6 |  18 | 18.0 |   + |  20 |  32 |   4 | 99 | -99.0 | -99.0 | 10.472355643208225 |               1.243 |       1 |   heasarc_mwsc |
|        Antalova 2 |  17 |  29 | 38.0 |   - |  32 |  28 |   8 | 99 | -99.0 | -99.0 | 10.500128650539313 |  1.2590000000000001 |       1 |   heasarc_mwsc |
|       Trumpler 27 |  17 |  36 | 22.0 |   - |  33 |  31 |   2 | 99 | -99.0 | -99.0 | 10.512168528406683 |               1.266 |       1 |   heasarc_mwsc |
|       Trumpler 21 |  13 |  32 | 13.0 |   - |  62 |  48 |   0 | 99 | -99.0 | -99.0 | 10.519018604779784 |                1.27 |       1 |   heasarc_mwsc |
|           DBSB 70 |  11 |  48 | 32.0 |   - |  62 |  17 |   1 | 99 | -99.0 | -99.0 | 10.525847139996658 |               1.274 |       1 |   heasarc_mwsc |
|        ESO 311-14 |   7 |  49 | 24.0 |   - |  42 |  41 |   1 | 99 | -99.0 | -99.0 | 10.532654269111907 |               1.278 |       1 |   heasarc_mwsc |
|  vdBergh-Hagen 84 |  10 |   1 | 21.0 |   - |  58 |  12 |   9 | 99 | -99.0 | -99.0 | 10.539440125913993 |               1.282 |       1 |   heasarc_mwsc |
|       Trumpler 33 |  18 |  24 | 41.0 |   - |  19 |  43 |   2 | 99 | -99.0 | -99.0 | 10.539440125913993 |               1.282 |       1 |   heasarc_mwsc |
|          Turner 2 |  18 |  16 | 55.0 |   - |  19 |   3 |   9 | 99 | -99.0 | -99.0 | 10.552948551496243 |                1.29 |       1 |   heasarc_mwsc |
|          FSR 1145 |   7 |  42 | 31.0 |   - |   1 |   2 |   2 | 99 | -99.0 | -99.0 | 10.556312568295327 |               1.292 |       1 |   heasarc_mwsc |
|          FSR 1159 |   6 |  57 | 55.0 |   - |   8 |  44 |   7 | 99 | -99.0 | -99.0 | 10.563025007672874 |               1.296 |       1 |   heasarc_mwsc |
|          FSR 1435 |   8 |  57 |  5.0 |   - |  43 |  45 |   9 | 99 | -99.0 | -99.0 | 10.563025007672874 |               1.296 |       1 |   heasarc_mwsc |
|      Ruprecht 164 |  11 |  30 | 50.0 |   - |  60 |  45 |   0 | 99 | -99.0 | -99.0 |   10.5646998804204 |               1.297 |       1 |   heasarc_mwsc |
|           ASCC 88 |  17 |   6 | 50.0 |   - |  35 |  34 |   8 | 99 | -99.0 | -99.0 |   10.5646998804204 |               1.297 |       1 |   heasarc_mwsc |
|          FSR 0131 |  19 |  30 | 43.0 |   + |  15 |  25 |   7 | 99 | -99.0 | -99.0 | 10.574722078562925 |               1.303 |       1 |   heasarc_mwsc |
|          NGC 6682 |  18 |  39 | 39.0 |   - |   4 |  48 |   0 | 99 | -99.0 | -99.0 | 10.576387956979508 |               1.304 |       1 |   heasarc_mwsc |
|          NGC 6618 |  18 |  20 | 35.0 |   - |  16 |   9 |   0 | 99 | -99.0 | -99.0 | 10.583038719941243 |               1.308 |       1 |   heasarc_mwsc |
|        Dolidze 52 |  18 |  23 | 55.0 |   - |  16 |  38 |   4 | 99 | -99.0 | -99.0 | 10.599577051289955 |               1.318 |       1 |   heasarc_mwsc |
|          Lynga 14 |  16 |  54 | 59.0 |   - |  45 |  14 |   4 | 99 | -99.0 | -99.0 | 10.614354614322178 |               1.327 |       1 |   heasarc_mwsc |
|          NGC 2571 |   8 |  18 | 57.0 |   - |  29 |  44 |   1 | 99 | -99.0 | -99.0 | 10.633902885060046 |               1.339 |       1 |   heasarc_mwsc |
|         Bochum 13 |  17 |  17 | 19.0 |   - |  35 |  33 |   0 | 99 | -99.0 | -99.0 | 10.635523991824039 |                1.34 |       1 |   heasarc_mwsc |
|     Dutra-Bica 51 |  17 |  49 | 28.0 |   - |  31 |  15 |   0 | 99 | -99.0 | -99.0 |  10.64522529943979 |               1.346 |       1 |   heasarc_mwsc |
|           DBSB 40 |  10 |   1 | 19.0 |   - |  57 |  42 |   3 | 99 | -99.0 | -99.0 | 10.664498849722415 |               1.358 |       1 |   heasarc_mwsc |
|          Pismis 8 |   8 |  41 | 39.0 |   - |  46 |  16 |   0 | 99 | -99.0 | -99.0 | 10.672479279173368 |               1.363 |       1 |   heasarc_mwsc |
|          NGC 6530 |  18 |   4 | 30.0 |   - |  24 |  21 |   6 | 99 | -99.0 | -99.0 | 10.675663256883874 |               1.365 |       1 |   heasarc_mwsc |
