COCD|Name             |  GLON|   GLAT|Dist|E(B-V)|logt|  r1|  r2|Sol|Sam| N2|  rc|e_rc|  rt|e_rt|   k| e_k| logM|e_logM
 212|NGC 2682         |215.70|  31.92| 908|0.06  |9.41|0.12|0.31|4  |2  | 31| 0.9|0.3 | 6.4| 1.4| 8.0| 2.6|1.919|0.291
 213|vdBergh-Hagen 56 |264.48|   1.46| 680|0.20  |7.24|0.09|0.30|4  |1  | 10| 1.8|1.0 | 4.7| 1.4| 2.8| 1.3|1.587|0.383
 216|Platais 8        |277.54|  -7.79| 150|0.00  |7.75|0.60|3.00|1  |1  | 20| 3.5|0.7 |11.4| 1.5| 0.9| 0.1|2.737|0.172
 218|Platais 9        |267.21|   3.15| 200|0.00  |8.09|1.00|3.30|2  |1  | 19| 7.0|2.9 |14.7| 3.1| 0.6| 0.3|3.072|0.279
 220|IC 2488          |277.83|  -4.42|1134|0.23  |8.53|0.10|0.30|4  |3  | 35| 1.2|0.4 | 6.1| 0.9| 8.0| 2.3|1.940|0.201
 223|Turner 5         |264.23|  11.05| 400|0.10  |8.49|0.60|1.65|3  |2  | 29| 2.1|0.3 |12.9| 1.0| 1.5| 0.2|2.897|0.113
 224|NGC 2925         |275.91|  -1.23| 774|0.08  |8.05|0.09|0.30|4  |3  | 24| 0.9|0.3 | 3.9| 0.7|11.0| 3.3|1.362|0.240
 234|NGC 3114         |283.25|  -3.87| 911|0.08  |8.24|0.11|0.45|4  |3  | 59| 4.8|1.0 |11.8| 1.4| 3.0| 0.7|2.802|0.162
 235|Loden 28         |282.21|  -2.21|3950|0.62  |7.30|0.09|0.20|1  |4  | 12| 2.7|2.0 |15.7| 4.3| 0.3| 0.2|3.150|0.360
 239|Ruprecht 161     |284.63|  -4.34| 940|0.09  |8.39|0.12|0.30|1  |4  | 10| 3.9|3.1 | 6.1| 1.3| 1.3| 0.4|1.954|0.283
 242|Loden 46         |282.60|   2.07| 540|0.14  |9.03|0.11|0.32|3  |3  | 28| 2.0|1.7 | 5.8| 3.6| 6.3| 5.8|1.862|0.817
 258|Melotte 101      |289.86|  -5.56|1995|0.46  |8.35|0.09|0.20|4  |1  | 12| 2.1|1.8 | 9.6| 7.8| 1.0| 0.6|2.566|1.053
 259|IC 2602          |289.54|  -4.94| 160|0.03  |7.83|0.50|2.50|1  |1  | 53| 2.9|0.3 |12.7| 1.2| 2.2| 0.2|2.885|0.127
 261|Alessi 5         |288.08|  -2.05| 398|0.15  |7.71|0.10|0.30|2  |1  | 12| 1.2|0.6 | 2.9| 0.6| 8.6| 3.0|0.973|0.273
 267|Loden 189        |286.72|   2.59| 720|0.13  |8.64|0.10|0.28|2  |4  | 15| 2.6|1.1 | 5.1| 0.6| 3.2| 0.3|1.709|0.158
 271|Collinder 236    |289.58|  -1.23| 800|0.07  |8.37|0.08|0.20|3  |2  | 13| 1.1|0.6 | 3.2| 0.6| 6.9| 2.0|1.097|0.243
 276|NGC 3532         |289.60|   1.39| 497|0.04  |8.45|0.20|0.60|3  |1  | 64| 1.9|0.4 | 9.5| 2.0| 5.6| 0.8|2.518|0.271
 285|Stock 13         |290.50|   1.60|1577|0.22  |7.37|0.06|0.23|4  |1  | 10| 1.0|0.8 | 7.0| 2.0| 2.0| 1.7|2.146|0.384
 287|NGC 3680         |286.75|  16.92| 934|0.07  |9.09|0.07|0.21|4  |1  | 11| 0.6|0.4 | 5.1| 2.3| 6.0| 4.7|1.702|0.600
 288|Ruprecht 94      |294.05|  -1.98|3400|0.30  |7.19|0.10|0.25|4  |2  | 22| 3.2|1.8 |23.2|12.3| 0.4| 0.2|3.738|0.691
 293|NGC 3766         |294.11|  -0.03|1745|0.18  |7.52|0.08|0.23|4  |1  | 15| 1.3|0.7 | 6.9| 1.4| 2.6| 1.5|2.149|0.259
