# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|MWSC 5963        |05 43 57|-10 39.3|      0.035|         0.165|         0.250|        |             |     430|  8.820|             |            |                                  OPEN STAR CLUSTER|
|NGC 6882         |20 11 48|+26 48.6|      0.020|         0.125|         0.225|  -15.07|         4.36|     432|  8.200|             |            |                                  OPEN STAR CLUSTER|
|NGC 1662         |04 48 27|+10 55.5|      0.020|         0.230|         0.485|  -13.50|         0.40|     437|  8.695|        0.036|            |                                  OPEN STAR CLUSTER|
|NGC 3532         |11 05 49|-58 43.8|      0.030|         0.200|         0.425|    1.20|         0.72|     454|  8.650|             |            |                                  OPEN STAR CLUSTER|
|NGC 1976         |05 35 19|-05 21.6|      0.050|         0.200|         0.435|   28.94|         2.72|     458|  6.000|             |            |                                             NEBULA|
|NGC 2422         |07 36 40|-14 29.4|      0.090|         0.330|         0.630|   36.72|         2.92|     471|  8.120|             |            |                                  OPEN STAR CLUSTER|
|ASCC 34          |07 10 37|+06 04.8|      0.020|         0.115|         0.205|        |             |     477|  8.530|             |            |                                  OPEN STAR CLUSTER|
|ASCC 109         |19 54 05|+34 32.7|      0.025|         0.175|         0.340|        |             |     479|  8.125|             |            |                                  OPEN STAR CLUSTER|
|IC 348           |03 44 37|+32 09.0|      0.025|         0.125|         0.260|   16.03|         3.77|     480|  6.780|             |            |                                  OPEN STAR CLUSTER|
|IC 4756          |18 38 56|+05 27.0|      0.100|         0.400|         0.800|  -22.45|         1.37|     483|  8.790|             |            |                                  OPEN STAR CLUSTER|
|NGC 2451B        |07 44 28|-37 40.2|      0.040|         0.200|         0.410|   13.70|         7.13|     489|  8.230|             |            |                                  OPEN STAR CLUSTER|
|Platais 12       |13 52 35|-63 24.3|      0.050|         0.350|         0.570|  -11.99|         9.51|     491|  8.400|             |            |                                  OPEN STAR CLUSTER|
|ASCC 105         |19 41 34|+27 23.0|      0.040|         0.225|         0.470|  -18.75|         5.25|     494|  7.910|             |            |                                  OPEN STAR CLUSTER|
|ASCC 51          |09 18 05|-69 41.4|      0.040|         0.290|         0.450|        |             |     496|  8.540|        0.074|            |                                  OPEN STAR CLUSTER|
|L 1641S          |05 42 29|-08 09.0|      0.050|         0.215|         0.410|        |             |     497|  6.620|             |emb         |                                             NEBULA|
|vdBergh-Hagen 164|14 47 38|-66 23.4|      0.025|         0.250|         0.370|   13.50|         5.50|     501|  7.100|             |            |                                  OPEN STAR CLUSTER|
|Roslund 5        |20 10 23|+33 46.8|      0.030|         0.215|         0.415|  -17.58|         2.01|     508|  7.570|             |            |                                  OPEN STAR CLUSTER|
|ASCC 59          |10 20 28|-57 40.5|      0.040|         0.200|         0.330|        |             |     509|  8.460|             |            |                                  OPEN STAR CLUSTER|
|NGC 6281         |17 04 41|-37 58.8|      0.025|         0.170|         0.320|  -15.43|             |     512|  8.500|        0.062|            |                                  OPEN STAR CLUSTER|
|Alessi 10        |20 04 44|-10 29.1|      0.030|         0.125|         0.225|   75.90|         2.60|     513|  8.195|             |            |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 99 |10 37 52|-59 07.5|      0.020|         0.175|         0.340|    6.00|         3.49|     517|  8.000|             |            |                                  OPEN STAR CLUSTER|
|NGC 1980         |05 35 28|-05 54.9|      0.025|         0.155|         0.230|   25.34|         2.10|     520|  6.670|             |            |                                             NEBULA|
|ASCC 106         |19 43 19|+01 37.2|      0.040|         0.250|         0.520|  -62.20|         0.20|     525|  8.420|             |            |                                  OPEN STAR CLUSTER|
|ASCC 90          |17 39 07|-34 48.9|      0.030|         0.170|         0.305|        |             |     526|  8.810|             |            |                                  OPEN STAR CLUSTER|
|Bochum 14        |18 02 00|-23 42.3|      0.013|         0.090|         0.167|        |             |     538|  7.100|             |            |                                             NEBULA|
|Ruprecht 31      |07 42 59|-35 35.6|      0.020|         0.065|         0.110|        |             |     541|  8.650|             |            |                                  OPEN STAR CLUSTER|
|Alessi 12        |20 43 23|+23 47.1|      0.070|         0.245|         0.475|  -26.00|         3.70|     543|  7.460|             |            |                                  OPEN STAR CLUSTER|
|NGC 2396         |07 28 07|-11 44.4|      0.020|         0.110|         0.200|   17.70|         0.90|     545|  8.520|             |            |                                  OPEN STAR CLUSTER|
