# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|ASCC 53          |09 38 10|-59 27.6|      0.030|         0.155|         0.265|        |             |    1786|  8.000|             |            |                                  OPEN STAR CLUSTER|
|FSR 0120         |18 23 04|+15 51.0|      0.025|         0.105|         0.150|        |             |    1786|  9.230|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 150     |07 05 58|-28 24.6|      0.015|         0.070|         0.140|        |             |    1789|  8.700|             |            |                                  OPEN STAR CLUSTER|
|Carraro 1        |10 36 56|-58 45.0|      0.015|         0.055|         0.085|   -8.50|             |    1789|  9.100|             |            |                                  OPEN STAR CLUSTER|
|ESO 277-04       |16 40 24|-43 44.4|      0.010|         0.050|         0.075|        |             |    1790|  8.720|             |            |                                  OPEN STAR CLUSTER|
|FSR 1031         |06 30 18|+03 23.4|      0.018|         0.073|         0.160|        |             |    1791|  8.635|        0.056|irc         |                                  OPEN STAR CLUSTER|
|BDSB 88          |06 54 34|-04 31.8|      0.015|         0.050|         0.085|        |             |    1791|  7.400|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1289         |07 08 33|-26 09.5|      0.020|         0.100|         0.160|        |             |    1791|  8.605|             |            |                                  OPEN STAR CLUSTER|
|ESO 129-19       |11 21 09|-58 12.9|      0.020|         0.060|         0.107|        |             |    1791|  9.000|             |dub         |                                  OPEN STAR CLUSTER|
|DBSB 87          |13 32 51|-60 27.3|      0.015|         0.050|         0.075|        |             |    1791|  8.000|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1678         |14 44 35|-64 44.4|      0.020|         0.095|         0.140|        |             |    1791|  9.000|             |            |                                  OPEN STAR CLUSTER|
|Berkeley 80      |18 54 20|-01 13.0|      0.015|         0.070|         0.120|        |             |    1791|  8.350|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5337        |17 07 25|-03 20.1|      0.018|         0.070|         0.125|        |             |    1791|  9.390|        0.024|            |                                  OPEN STAR CLUSTER|
|NGC 3909         |11 50 06|-48 12.6|      0.025|         0.110|         0.170|        |             |    1792|  9.515|        0.101|            |                                  OPEN STAR CLUSTER|
|NGC 6067         |16 13 12|-54 13.2|      0.030|         0.135|         0.235|  -37.28|         3.02|    1793|  7.970|             |            |                                  OPEN STAR CLUSTER|
|King 25          |19 24 30|+13 42.0|      0.020|         0.095|         0.170|        |             |    1796|  8.450|             |ast         |                                  OPEN STAR CLUSTER|
|Haffner 9        |07 24 42|-17 00.0|      0.010|         0.050|         0.095|        |             |    1797|  8.150|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 19      |07 25 50|-21 33.8|      0.015|         0.055|         0.115|        |             |    1797|  8.000|             |dub         |                                  OPEN STAR CLUSTER|
|Loden 848        |13 34 23|-64 33.0|      0.025|         0.110|         0.225|        |             |    1797|  8.750|             |            |                                  OPEN STAR CLUSTER|
|Berkeley 17      |05 20 37|+30 35.4|      0.020|         0.120|         0.220|  -84.00|         3.17|    1800|  9.600|             |            |                                  OPEN STAR CLUSTER|
|NGC 6005         |15 55 59|-57 26.4|      0.012|         0.070|         0.130|        |             |    1802|  9.060|        0.015|            |                                  OPEN STAR CLUSTER|
|Antalova 4       |17 32 44|-32 57.3|      0.015|         0.100|         0.160|        |             |    1802|  6.000|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 142     |18 32 13|-12 12.9|      0.010|         0.065|         0.100|        |             |    1802|  8.530|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5674        |08 06 34|-70 19.5|      0.018|         0.065|         0.115|        |             |    1803|  9.350|             |            |                                  OPEN STAR CLUSTER|
|ESO 260-17       |09 04 45|-46 02.1|      0.015|         0.055|         0.115|        |             |    1808|  8.990|        0.066|dub         |                                  OPEN STAR CLUSTER|
|FSR 0921         |06 05 17|+16 40.5|      0.018|         0.090|         0.160|        |             |    1810|  8.750|             |            |                                  OPEN STAR CLUSTER|
|FSR 1382         |08 42 56|-35 47.1|      0.015|         0.060|         0.115|        |             |    1811|  9.100|        0.048|            |                                  OPEN STAR CLUSTER|
|Collinder 268    |13 18 16|-67 04.5|      0.025|         0.060|         0.115|  -27.18|         0.30|    1811|  8.790|             |            |                                  OPEN STAR CLUSTER|
|Trumpler 25      |17 24 23|-39 01.0|      0.015|         0.090|         0.160|        |             |    1818|  8.350|             |            |                                  OPEN STAR CLUSTER|
|NGC 2349         |07 10 43|-08 36.3|      0.015|         0.085|         0.145|        |             |    1819|  9.140|             |non         |                                  OPEN STAR CLUSTER|
|Hogg 2           |09 51 36|-56 18.6|      0.020|         0.050|         0.075|        |             |    1819|  8.200|             |non         |                                  OPEN STAR CLUSTER|
|FSR 1518         |09 59 31|-54 30.6|      0.010|         0.060|         0.100|        |             |    1819|  7.600|             |irc         |                                  OPEN STAR CLUSTER|
|ESO 435-48       |10 09 32|-28 21.5|      0.015|         0.075|         0.155|        |             |    1819|  8.700|             |dub         |                                  OPEN STAR CLUSTER|
|NGC 5138         |13 27 11|-59 01.8|      0.020|         0.070|         0.140|   -9.58|         0.57|    1819|  7.550|             |            |                                  OPEN STAR CLUSTER|
|Loden 1375       |14 44 20|-63 24.3|      0.012|         0.085|         0.145|        |             |    1819|  7.900|             |            |                                  OPEN STAR CLUSTER|
|NGC 1557         |04 13 08|-70 27.9|      0.030|         0.120|         0.220|        |             |    1820|  9.500|             |rem         |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 211|17 02 11|-41 06.6|      0.020|         0.055|         0.105|        |             |    1820|  8.520|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 36      |07 48 23|-26 17.4|      0.010|         0.045|         0.090|        |             |    1821|  8.280|             |            |                                  OPEN STAR CLUSTER|
|FSR 1152         |07 40 10|-02 05.1|      0.010|         0.080|         0.130|        |             |    1824|  8.600|             |            |                                  OPEN STAR CLUSTER|
|FSR 1593         |11 27 50|-68 44.1|      0.025|         0.075|         0.140|        |             |    1825|  9.455|        0.076|            |                                  OPEN STAR CLUSTER|
|FSR 1617         |12 28 32|-66 33.6|      0.018|         0.110|         0.171|        |             |    1828|  8.900|             |irc         |                                  OPEN STAR CLUSTER|
|ESO 456-05       |17 53 02|-29 52.4|      0.010|         0.050|         0.070|        |             |    1828|  9.000|        0.015|dub         |                                  OPEN STAR CLUSTER|
|FSR 1424         |08 50 38|-43 49.9|      0.015|         0.065|         0.100|        |             |    1829|  8.400|             |            |                                  OPEN STAR CLUSTER|
|ASCC 93          |18 08 10|-22 16.8|      0.015|         0.115|         0.165|  -23.33|         6.36|    1830|  6.100|             |            |                                  OPEN STAR CLUSTER|
|ESO 432-03       |08 42 59|-27 51.9|      0.010|         0.075|         0.120|        |             |    1831|  9.200|             |            |                                  OPEN STAR CLUSTER|
|FSR 1303         |06 44 44|-31 53.6|      0.010|         0.060|         0.110|        |             |    1833|  9.175|             |            |                                  OPEN STAR CLUSTER|
|FSR 1245         |07 49 57|-14 01.3|      0.010|         0.060|         0.110|   33.00|             |    1833|  9.170|        0.067|            |                                  OPEN STAR CLUSTER|
|Ruprecht 50      |08 03 31|-30 51.6|      0.015|         0.065|         0.100|        |             |    1834|  8.775|        0.028|dub         |                                  OPEN STAR CLUSTER|
|FSR 0850         |05 45 07|+24 44.3|      0.017|         0.075|         0.145|  -16.96|             |    1836|  7.300|             |irc         |                                  OPEN STAR CLUSTER|
|Ruprecht 40      |07 33 28|-20 30.6|      0.015|         0.040|         0.075|        |             |    1836|  8.265|             |non         |                                  OPEN STAR CLUSTER|
|NGC 6481         |17 52 48|+04 10.0|      0.018|         0.065|         0.125|        |             |    1836|  9.560|             |rem         |                                  OPEN STAR CLUSTER|
|MWSC 5744        |20 20 20|-42 14.7|      0.023|         0.070|         0.115|        |             |    1836|  9.220|             |            |                                  OPEN STAR CLUSTER|
|ESO 332-11       |16 56 06|-40 46.8|      0.010|         0.055|         0.100|        |             |    1841|  7.100|             |non         |                          OB ASSOCIATION/HII REGION|
|NGC 6318         |17 16 11|-39 25.0|      0.010|         0.055|         0.110|        |             |    1841|  7.800|             |            |                                  OPEN STAR CLUSTER|
|NGC 6830         |19 51 00|+23 06.0|      0.015|         0.070|         0.140|  -30.90|         0.90|    1841|  8.105|        0.062|            |                                  OPEN STAR CLUSTER|
|FSR 1744         |16 51 32|-42 23.6|      0.018|         0.075|         0.120|        |             |    1844|  8.600|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5708        |19 11 58|-36 18.9|      0.020|         0.055|         0.100|        |             |    1844|  8.575|             |            |                                  OPEN STAR CLUSTER|
|FSR 1281         |07 12 53|-25 13.9|      0.020|         0.100|         0.190|        |             |    1847|  8.680|             |            |                                  OPEN STAR CLUSTER|
|FSR 1484         |09 29 47|-50 40.9|      0.012|         0.060|         0.100|        |             |    1847|  8.645|             |            |                                  OPEN STAR CLUSTER|
|NGC 5299         |13 50 26|-59 56.7|      0.017|         0.070|         0.110|        |             |    1847|  8.700|             |ast         |                                  OPEN STAR CLUSTER|
|MWSC 5656        |05 16 39|+02 12.6|      0.020|         0.100|         0.195|        |             |    1847|  8.800|             |            |                                  OPEN STAR CLUSTER|
|FSR 0069         |18 45 23|-10 27.6|      0.020|         0.075|         0.130|        |             |    1848|  6.800|             |            |                                  OPEN STAR CLUSTER|
|ASCC 17          |05 25 19|+30 10.9|      0.025|         0.075|         0.195|  -16.00|         6.10|    1850|  7.265|             |            |                                  OPEN STAR CLUSTER|
|FSR 1690         |14 32 20|-53 42.0|      0.020|         0.075|         0.120|        |             |    1850|  9.135|             |            |                                  OPEN STAR CLUSTER|
|Collinder 347    |17 46 23|-29 19.5|      0.020|         0.075|         0.130|        |             |    1852|  6.600|             |            |                                             NEBULA|
|NGC 6259         |17 00 54|-44 41.4|      0.020|         0.100|         0.170|  -33.70|         0.19|    1855|  8.475|             |            |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 132|12 27 00|-64 04.0|      0.020|         0.100|         0.180|        |             |    1859|  8.450|             |            |                                  OPEN STAR CLUSTER|
|Czernik 25       |06 13 42|+06 57.2|      0.020|         0.092|         0.205|        |             |    1861|  8.520|        0.044|            |                                  OPEN STAR CLUSTER|
|MWSC 5705        |19 06 53|-46 16.3|      0.020|         0.065|         0.120|        |             |    1861|  8.950|        0.001|            |                                  OPEN STAR CLUSTER|
|Dutra-Bica 83    |05 52 05|+27 22.7|      0.028|         0.055|         0.120|        |             |    1863|  8.780|        0.059|            |                                  OPEN STAR CLUSTER|
|Schuster 1       |10 04 36|-55 51.4|      0.010|         0.045|         0.077|        |             |    1863|  6.800|             |            |                                  OPEN STAR CLUSTER|
|FSR 1158         |07 10 48|-06 46.8|      0.015|         0.085|         0.160|        |             |    1864|  8.555|             |            |                                  OPEN STAR CLUSTER|
|FSR 1443         |08 39 27|-47 21.4|      0.012|         0.080|         0.165|        |             |    1864|  8.770|             |irc         |                                  OPEN STAR CLUSTER|
|DBSB 39          |09 24 25|-53 08.2|      0.010|         0.040|         0.060|        |             |    1864|  7.400|             |irc         |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 155|13 57 30|-59 34.8|      0.010|         0.080|         0.130|        |             |    1864|  8.440|        0.102|non         |                                  OPEN STAR CLUSTER|
|ESO 561-05       |07 59 19|-22 41.4|      0.018|         0.065|         0.145|        |             |    1865|  9.000|             |dub         |                                  OPEN STAR CLUSTER|
|ESO 314-14       |09 19 31|-38 07.9|      0.018|         0.070|         0.115|        |             |    1870|  8.650|             |            |                                  OPEN STAR CLUSTER|
|Collinder 269    |13 23 51|-66 09.6|      0.020|         0.125|         0.210|        |             |    1870|  8.550|             |            |                                  OPEN STAR CLUSTER|
|FSR 1235         |06 25 05|-23 18.6|      0.015|         0.080|         0.140|        |             |    1871|  9.255|             |            |                                  OPEN STAR CLUSTER|
|IC 446           |06 31 02|+10 26.1|      0.012|         0.093|         0.180|        |             |    1871|  7.300|             |irc         |                                             NEBULA|
|Ruprecht 20      |07 26 34|-28 48.0|      0.017|         0.060|         0.115|   29.89|         0.04|    1871|  9.400|             |            |                                  OPEN STAR CLUSTER|
|FSR 1568         |10 24 47|-69 04.2|      0.020|         0.075|         0.140|        |             |    1871|  9.350|             |            |                                  OPEN STAR CLUSTER|
|Lynga 12         |16 46 03|-50 44.4|      0.025|         0.090|         0.150|        |             |    1872|  9.250|             |            |                                  OPEN STAR CLUSTER|
|Danks 1          |13 12 31|-62 42.5|      0.015|         0.035|         0.050|        |             |    1873|  6.000|             |dub         |                                  OPEN STAR CLUSTER|
|FSR 0933         |06 05 33|+14 33.1|      0.018|         0.080|         0.155|        |             |    1875|  8.465|        0.028|            |                                  OPEN STAR CLUSTER|
|FSR 0034         |18 58 44|-26 47.6|      0.015|         0.075|         0.125|        |             |    1875|  7.500|             |            |                                  OPEN STAR CLUSTER|
|ESO 260-07       |08 48 00|-47 01.8|      0.015|         0.070|         0.125|        |             |    1876|  9.375|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 88      |10 18 48|-63 08.2|      0.018|         0.085|         0.130|        |             |    1876|  8.980|             |            |                                  OPEN STAR CLUSTER|
|Loden 213        |10 36 09|-61 50.2|      0.012|         0.070|         0.125|        |             |    1876|  8.875|             |non         |                                  OPEN STAR CLUSTER|
|MWSC 5224        |13 54 49|-31 42.6|      0.020|         0.100|         0.195|        |             |    1876|  9.005|        0.001|            |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 110|11 07 16|-61 27.6|      0.010|         0.050|         0.085|        |             |    1879|  8.000|             |            |                                  OPEN STAR CLUSTER|
|FSR 0846         |05 48 50|+26 21.9|      0.025|         0.085|         0.155|        |             |    1881|  7.300|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1129         |06 58 46|-04 55.8|      0.015|         0.075|         0.135|        |             |    1881|  8.385|             |            |                                  OPEN STAR CLUSTER|
|NGC 2180         |06 09 45|+04 48.3|      0.020|         0.070|         0.110|        |             |    1882|  9.355|             |            |                                  OPEN STAR CLUSTER|
|NGC 2910         |09 30 29|-52 55.5|      0.015|         0.080|         0.125|        |             |    1882|  7.200|             |            |                                  OPEN STAR CLUSTER|
|FSR 1365         |07 59 45|-36 11.4|      0.015|         0.087|         0.160|        |             |    1884|  9.010|        0.048|            |                                  OPEN STAR CLUSTER|
|NGC 3960         |11 50 38|-55 40.2|      0.035|         0.100|         0.170|  -22.56|         0.17|    1884|  9.110|             |var         |                                  OPEN STAR CLUSTER|
|FSR 0882         |05 28 00|+16 54.9|      0.020|         0.100|         0.200|        |             |    1887|  9.350|        0.025|            |                                  OPEN STAR CLUSTER|
|Ruprecht 45      |07 59 30|-16 18.3|      0.010|         0.060|         0.100|        |             |    1888|  9.300|             |dub         |                                  OPEN STAR CLUSTER|
|MWSC 5749        |20 32 10|-78 36.9|      0.012|         0.090|         0.150|        |             |    1890|  9.345|             |            |                                  OPEN STAR CLUSTER|
|FSR 1132         |06 08 20|-11 30.0|      0.013|         0.060|         0.140|        |             |    1892|  8.850|             |            |                                  OPEN STAR CLUSTER|
|FSR 1205         |06 04 10|-20 09.5|      0.020|         0.130|         0.205|        |             |    1893|  9.100|             |            |                                  OPEN STAR CLUSTER|
|Kronberger 12    |06 14 15|+22 29.0|      0.010|         0.055|         0.100|        |             |    1893|  8.870|        0.084|            |                                  OPEN STAR CLUSTER|
|vdBergh 85       |06 46 55|+01 19.5|      0.020|         0.060|         0.130|        |             |    1893|  7.685|             |            |                                             NEBULA|
|Haffner 7        |07 22 56|-29 29.4|      0.020|         0.070|         0.155|        |             |    1893|  9.000|             |            |                                  OPEN STAR CLUSTER|
|FSR 1709         |15 57 29|-54 22.5|      0.020|         0.095|         0.150|  -37.50|         8.50|    1893|  8.500|             |            |                                  OPEN STAR CLUSTER|
|NGC 6604         |18 18 02|-12 14.3|      0.025|         0.160|         0.265|    9.60|         7.05|    1895|  6.890|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5804        |22 43 53|+15 02.4|      0.025|         0.110|         0.200|        |             |    1896|  9.465|             |            |                                  OPEN STAR CLUSTER|
|FSR 1252         |07 22 34|-18 42.0|      0.020|         0.080|         0.150|        |             |    1899|  8.995|        0.027|            |                                  OPEN STAR CLUSTER|
|FSR 0757         |04 09 53|+26 34.2|      0.012|         0.050|         0.100|        |             |    1900|  9.000|             |            |                                  OPEN STAR CLUSTER|
|FSR 1432         |08 52 56|-44 11.1|      0.015|         0.055|         0.100|        |             |    1904|  8.100|             |            |                                  OPEN STAR CLUSTER|
|DB2001 41        |17 30 24|-33 11.4|      0.020|         0.045|         0.075|  -29.25|             |    1904|  6.000|             |irc         |                                             NEBULA|
|FSR 0166         |20 13 36|+25 27.3|      0.018|         0.085|         0.120|        |             |    1904|  9.045|             |            |                                  OPEN STAR CLUSTER|
|FSR 1029         |06 54 04|+06 43.5|      0.012|         0.065|         0.125|        |             |    1905|  8.930|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1169         |07 02 51|-09 15.3|      0.018|         0.080|         0.170|        |             |    1905|  8.675|        0.044|            |                                  OPEN STAR CLUSTER|
|FSR 1142         |07 25 07|-02 54.0|      0.015|         0.060|         0.095|        |             |    1905|  9.100|             |            |                                  OPEN STAR CLUSTER|
|ESO 559-13       |07 28 43|-20 48.6|      0.020|         0.075|         0.125|        |             |    1905|  8.905|        0.034|            |                                  OPEN STAR CLUSTER|
|ESO 494-09       |07 59 16|-27 35.0|      0.018|         0.060|         0.130|        |             |    1905|  8.735|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4138        |09 27 07|-73 30.0|      0.025|         0.120|         0.185|        |             |    1908|  9.280|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5350        |17 22 01|+04 54.9|      0.022|         0.075|         0.145|        |             |    1914|  9.475|             |            |                                  OPEN STAR CLUSTER|
|FSR 0977         |06 31 52|+11 50.7|      0.020|         0.075|         0.145|        |             |    1916|  8.680|        0.071|irc         |                                  OPEN STAR CLUSTER|
|Dias 6           |18 30 32|-12 18.3|      0.020|         0.075|         0.155|        |             |    1916|  8.600|             |            |                                  OPEN STAR CLUSTER|
|FSR 1000         |06 12 16|+05 11.1|      0.020|         0.090|         0.160|        |             |    1917|  8.790|        0.057|            |                                  OPEN STAR CLUSTER|
|BDSB 91          |06 25 17|-10 33.3|      0.025|         0.085|         0.150|        |             |    1918|  6.650|             |irc         |                                  OPEN STAR CLUSTER|
|Kronberger 1     |05 28 21|+34 47.1|      0.020|         0.060|         0.100|   13.00|             |    1919|  6.900|             |            |                                  OPEN STAR CLUSTER|
|Hogg 10          |11 10 44|-60 23.1|      0.018|         0.067|         0.110|   -7.00|         8.00|    1920|  6.785|             |            |                                  OPEN STAR CLUSTER|
|Teutsch 77       |11 53 29|-62 36.3|      0.015|         0.070|         0.110|        |             |    1920|  7.700|             |            |                                  OPEN STAR CLUSTER|
|FSR 1092         |06 37 42|-02 49.1|      0.020|         0.085|         0.160|        |             |    1922|  8.800|             |            |                                  OPEN STAR CLUSTER|
|FSR 1100         |07 03 58|-00 05.1|      0.010|         0.070|         0.120|        |             |    1923|  8.685|             |            |                                  OPEN STAR CLUSTER|
|vdBergh 83       |06 40 08|-27 17.4|      0.018|         0.065|         0.120|        |             |    1925|  9.350|             |            |                                  OPEN STAR CLUSTER|
|Haffner 3        |07 04 07|-06 07.8|      0.015|         0.060|         0.110|        |             |    1925|  8.600|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5323        |16 27 04|-07 10.2|      0.018|         0.100|         0.170|        |             |    1925|  9.375|             |            |                                  OPEN STAR CLUSTER|
|FSR 1207         |07 07 32|-13 19.8|      0.012|         0.090|         0.180|        |             |    1928|  8.335|        0.038|            |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 90 |10 12 11|-58 03.6|      0.012|         0.060|         0.105|        |             |    1928|  8.465|             |            |                                  OPEN STAR CLUSTER|
|Patchick 75      |20 15 02|+33 55.3|      0.011|         0.060|         0.110|        |             |    1928|  9.060|             |            |                                  OPEN STAR CLUSTER|
|Dolidze 33       |18 41 14|-04 22.4|      0.030|         0.080|         0.140|        |             |    1930|  7.300|             |dub         |                                  OPEN STAR CLUSTER|
|FSR 0979         |06 31 16|+11 05.0|      0.025|         0.075|         0.155|        |             |    1933|  8.700|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 0991         |05 32 26|+00 31.8|      0.012|         0.085|         0.150|   43.20|        13.10|    1934|  8.870|        0.037|            |                                  OPEN STAR CLUSTER|
|BDSB 82          |06 14 59|+12 20.3|      0.012|         0.050|         0.110|        |             |    1934|  7.915|        0.151|irc         |                                  OPEN STAR CLUSTER|
|ASCC 65          |11 10 59|-61 07.5|      0.020|         0.120|         0.220|  -13.40|         3.52|    1934|  6.850|             |            |                                  OPEN STAR CLUSTER|
|FSR 1641         |13 04 41|-64 32.7|      0.025|         0.075|         0.110|        |             |    1934|  8.950|             |            |                                  OPEN STAR CLUSTER|
|FSR 1284         |07 19 59|-24 31.8|      0.010|         0.070|         0.125|        |             |    1935|  9.145|        0.059|            |                                  OPEN STAR CLUSTER|
|FSR 1203         |07 43 41|-08 01.2|      0.018|         0.090|         0.165|        |             |    1935|  9.265|             |            |                                  OPEN STAR CLUSTER|
|FSR 1307         |08 15 58|-21 26.1|      0.010|         0.045|         0.075|        |             |    1935|  9.200|             |            |                                  OPEN STAR CLUSTER|
|FSR 1774         |18 08 44|-37 56.4|      0.010|         0.085|         0.130|        |             |    1935|  9.000|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5231        |14 08 31|-19 27.9|      0.020|         0.100|         0.160|        |             |    1935|  9.315|             |            |                                  OPEN STAR CLUSTER|
|Loden 306        |11 05 56|-61 07.2|      0.020|         0.095|         0.180|  -33.00|         4.60|    1939|  6.760|             |            |                                  OPEN STAR CLUSTER|
|NGC 2202         |06 16 52|+06 01.6|      0.010|         0.080|         0.130|        |             |    1940|  9.200|             |            |                                  OPEN STAR CLUSTER|
|DBSB 43          |10 03 54|-59 17.7|      0.010|         0.055|         0.085|        |             |    1940|  6.000|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1312         |08 10 46|-23 18.3|      0.012|         0.065|         0.130|        |             |    1941|  8.835|        0.050|            |                                  OPEN STAR CLUSTER|
|IRAS 06567-0355  |06 59 17|-03 58.2|      0.015|         0.090|         0.150|   39.64|             |    1943|  7.350|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1032         |06 36 16|+04 00.0|      0.010|         0.045|         0.100|        |             |    1944|  8.720|             |            |                                  OPEN STAR CLUSTER|
|NGC 2331         |07 06 43|+27 15.3|      0.030|         0.080|         0.140|        |             |    1946|  8.600|             |dub         |                                  OPEN STAR CLUSTER|
|MWSC 5122        |11 43 55|-28 47.9|      0.012|         0.085|         0.170|        |             |    1947|  9.500|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5186        |13 09 16|-32 58.2|      0.020|         0.115|         0.205|        |             |    1947|  9.325|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 115     |16 12 58|-52 25.6|      0.025|         0.090|         0.140|        |             |    1948|  9.135|        0.036|            |                                  OPEN STAR CLUSTER|
|FSR 1767         |17 35 42|-36 21.3|      0.014|         0.060|         0.115|        |             |    1948|  8.675|             |irc         |                                  OPEN STAR CLUSTER|
|Pismis 16        |09 51 15|-53 10.4|      0.010|         0.045|         0.075|   21.00|         9.00|    1949|  7.100|             |            |                                  OPEN STAR CLUSTER|
|NGC 5381         |14 00 40|-59 36.3|      0.020|         0.105|         0.160|        |             |    1949|  8.650|             |            |                                  OPEN STAR CLUSTER|
|DBSB 139         |15 10 01|-58 25.6|      0.015|         0.037|         0.062|  -65.81|             |    1950|  7.500|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1379         |08 00 16|-40 53.9|      0.015|         0.070|         0.130|        |             |    1951|  7.450|             |            |                                  OPEN STAR CLUSTER|
|NGC 6756         |19 08 45|+04 43.0|      0.015|         0.060|         0.110|        |             |    1951|  8.400|             |            |                                  OPEN STAR CLUSTER|
|BDSB 16          |19 55 00|+27 13.0|      0.010|         0.035|         0.060|        |             |    1951|  7.550|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1099         |06 34 30|-03 50.4|      0.010|         0.085|         0.140|        |             |    1952|  8.635|             |            |                                  OPEN STAR CLUSTER|
|Wit 1            |07 00 23|-05 49.8|      0.015|         0.085|         0.170|    5.00|             |    1952|  6.350|             |            |                                  OPEN STAR CLUSTER|
|FSR 1091         |07 11 37|+01 36.3|      0.015|         0.080|         0.150|        |             |    1952|  8.865|        0.038|            |                                  OPEN STAR CLUSTER|
|Collinder 275    |13 34 32|-60 12.8|      0.012|         0.075|         0.125|        |             |    1952|  8.600|             |            |                                  OPEN STAR CLUSTER|
|Berkeley 50      |20 10 05|+34 58.2|      0.015|         0.100|         0.210|        |             |    1952|  8.375|        0.084|            |                                  OPEN STAR CLUSTER|
|MWSC 5346        |17 17 12|+02 12.7|      0.020|         0.090|         0.180|        |             |    1952|  9.310|             |            |                                  OPEN STAR CLUSTER|
|FSR 1699         |14 39 40|-44 04.2|      0.025|         0.100|         0.155|        |             |    1953|  9.600|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5029        |08 45 38|-11 39.3|      0.012|         0.090|         0.135|        |             |    1953|  9.285|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5038        |09 14 18|+23 56.4|      0.010|         0.070|         0.125|        |             |    1953|  9.300|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 11      |07 07 22|-20 47.7|      0.010|         0.050|         0.100|        |             |    1958|  8.800|             |            |                                  OPEN STAR CLUSTER|
|ESO 312-04       |08 26 46|-41 14.3|      0.010|         0.040|         0.075|        |             |    1963|  8.300|             |            |                                  OPEN STAR CLUSTER|
|FSR 1616         |12 29 19|-63 25.8|      0.012|         0.075|         0.130|        |             |    1963|  8.300|             |            |                                  OPEN STAR CLUSTER|
|DBSB 92          |15 03 36|-57 40.8|      0.020|         0.050|         0.100|        |             |    1963|  7.400|             |irc         |                                  OPEN STAR CLUSTER|
|NGC 2286         |06 47 39|-03 09.3|      0.020|         0.090|         0.195|        |             |    1964|  8.640|        0.012|            |                                  OPEN STAR CLUSTER|
|Berkeley 28      |06 52 08|+02 54.6|      0.010|         0.075|         0.120|        |             |    1964|  7.535|             |            |                                  OPEN STAR CLUSTER|
|FSR 1139         |07 24 33|-02 53.0|      0.020|         0.050|         0.115|        |             |    1964|  8.855|        0.053|            |                                  OPEN STAR CLUSTER|
|Ruprecht 42      |07 57 39|-25 56.1|      0.010|         0.070|         0.115|        |             |    1964|  8.700|             |            |                                  OPEN STAR CLUSTER|
|FSR 1613         |12 31 53|-46 28.6|      0.015|         0.110|         0.170|        |             |    1965|  9.490|        0.043|            |                                  OPEN STAR CLUSTER|
|NGC 6659         |18 34 08|+23 35.9|      0.018|         0.090|         0.165|        |             |    1965|  9.430|        0.033|ast         |                                  OPEN STAR CLUSTER|
|MWSC 5071        |10 32 44|-29 35.1|      0.012|         0.075|         0.150|        |             |    1965|  9.450|             |            |                                  OPEN STAR CLUSTER|
|FSR 1471         |09 24 11|-47 20.4|      0.018|         0.065|         0.115|        |             |    1966|  8.820|             |irc         |                                  OPEN STAR CLUSTER|
|Trumpler 19      |11 14 15|-57 32.1|      0.025|         0.140|         0.215|        |             |    1968|  9.650|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4561        |20 23 53|+05 54.0|      0.020|         0.110|         0.185|        |             |    1968|  9.400|        0.028|            |                                  OPEN STAR CLUSTER|
