|              Name | RAh | RAm |  RAs | DE- | DEd | DEm | DEs | TT |  SFRa |  KLum |    DM |   Dist |  n_clust |                                  reference |  
|        ESO245-005 |   1 |  45 |  3.6 |   - |  43 |  35 |  53 |  9 | -1.62 |   8.5 | 28.23 |  4.426 |          |                                            |
|              KK15 |   1 |  46 | 41.6 |   + |  26 |  48 |   5 | 10 | -3.75 |  6.82 | 29.29 |  7.211 |          |                                            |
|            IC1727 |   1 |  47 | 30.1 |   + |  27 |  19 |  52 |  8 | -1.12 |  9.46 | 29.29 |  7.211 |          |                                            |
|           NGC0672 |   1 |  47 | 53.2 |   + |  27 |  26 |   1 |  6 | -0.69 |  9.65 | 29.29 |  7.211 |          |                                            |
|          UGC01281 |   1 |  49 | 32.3 |   + |  32 |  35 |  33 |  7 |  -2.0 |  8.52 | 28.47 |  4.943 |          |                                            |
|           Phoenix |   1 |  51 |  6.3 |   - |  44 |  26 |  41 | 10 |   0.0 |  6.08 | 23.21 |  0.439 |          |                                            |
|              KK16 |   1 |  55 | 20.6 |   + |  27 |  57 |  15 | 10 | -3.46 |  7.32 | 28.69 |   5.47 |          |                                            |
|              KK17 |   2 |   0 |  9.9 |   + |  28 |  49 |  57 | 10 | -3.55 |   7.0 | 28.45 |  4.898 |          |                                            |
|           NGC0784 |   2 |   1 | 16.8 |   + |  28 |  50 |  37 |  8 | -1.53 |   8.6 | 28.48 |  4.966 |          |                                            |
|           UGC1561 |   2 |   4 |  5.0 |   + |  24 |  12 |  28 |  9 | -2.13 |  8.31 | 29.29 |  7.211 |          |                                            |
|              Cas1 |   2 |   6 |  7.9 |   + |  69 |   0 |  36 | 10 | -1.35 |  8.76 | 27.59 |  3.296 |          |                                            |
|          UGC01703 |   2 |  12 | 55.8 |   + |  32 |  48 |  51 | -2 | -4.86 |  7.56 | 28.11 |  4.188 |          |                                            |
|           NGC0855 |   2 |  14 |  3.7 |   + |  27 |  52 |  38 |  0 | -1.11 |  9.37 | 29.94 |  9.727 |          |                                            |
|           Segue 2 |   2 |  19 | 16.0 |   + |  20 |  10 |  31 | -3 |   0.0 |  3.88 |  17.7 |  0.035 |          |                                            |
|           NGC0891 |   2 |  22 | 32.8 |   + |  42 |  20 |  48 |  3 | -0.11 | 10.96 | 29.95 |  9.772 |          |                                            |
|             KKH11 |   2 |  24 | 35.0 |   + |  56 |   0 |  42 | 10 | -2.71 |  7.64 | 27.39 |  3.006 |          |                                            |
|       [KK2000] 03 |   2 |  24 | 42.7 |   - |  73 |  30 |  46 | -3 |   0.0 |  8.21 | 28.06 |  4.093 |          |                                            |
|            DDO019 |   2 |  25 |  0.2 |   + |  36 |   2 |  16 | 10 | -1.74 |   8.0 | 29.84 |   9.29 |          |                                            |
|        d0226+3325 |   2 |  26 | 52.8 |   + |  33 |  25 |  37 | 10 |  -4.6 |  7.32 | 29.84 |   9.29 |          |                                            |
|           NGC0925 |   2 |  27 | 16.0 |   + |  33 |  34 |  41 |  7 | -0.03 | 10.12 | 29.84 |   9.29 |          |                                            |
|           Halogas |   2 |  27 | 20.0 |   + |  33 |  57 |  30 | 10 |   0.0 |  7.12 | 29.84 |   9.29 |          |                                            |
|             KKH12 |   2 |  27 | 27.0 |   + |  57 |  29 |  16 | 10 | -2.43 |  7.67 | 27.39 |  3.006 |          |                                            |
|            DDO022 |   2 |  32 | 54.0 |   + |  38 |  40 |  50 | 10 | -2.38 |  8.01 | 29.84 |   9.29 |          |                                            |
|            DDO025 |   2 |  33 | 18.2 |   + |  33 |  29 |  28 |  8 |  -1.4 |  8.87 | 29.84 |   9.29 |          |                                            |
|            DDO024 |   2 |  33 | 43.0 |   + |  40 |  31 |  41 |  8 |  -1.5 |  8.96 | 29.96 |  9.817 |          |                                            |
|               MB1 |   2 |  35 | 35.6 |   + |  59 |  22 |  47 | 10 | -2.53 |  8.23 | 27.39 |  3.006 |          |                                            |
|           Maffei1 |   2 |  36 | 35.5 |   + |  59 |  39 |  18 | -3 | -2.99 | 10.22 | 27.39 |  3.006 |          |                                            |
|        ESO115-021 |   2 |  37 | 45.0 |   - |  61 |  20 |  28 |  7 | -1.65 |  8.73 | 28.49 |  4.989 |          |                                            |
|            Fornax |   2 |  39 | 54.7 |   - |  34 |  31 |  33 | -3 |   0.0 |  7.55 | 20.73 |   0.14 |          |                                            |
|           Maffei2 |   2 |  41 | 54.5 |   + |  59 |  36 |  11 |  4 | -0.86 | 10.67 | 27.24 |  2.805 |          |                                            |
|         AGC122226 |   2 |  46 | 38.9 |   + |  27 |  43 |  35 |  9 | -2.21 |   7.5 | 29.66 |  8.551 |          |                                            |
|               Dw2 |   2 |  54 |  8.5 |   + |  59 |   0 |  19 | 10 | -2.47 |  8.35 | 27.39 |  3.006 |          |                                            |
