SR1686  0.018 0.002 -0.022 0.123 3.053 0.039
SR1696  3.550 1.555 -2.301 0.238 4.726 0.041
SR1697  0.089 0.039 -0.125 1.088 3.653 0.012
SR1698  0.022 0.002 -1.602 0.122 2.915 0.127
SR1699  0.112 0.039  0.477 0.088 3.665 0.166
SR1702  1.000 0.233 -1.602 0.122 4.326 0.094
SR1703  0.562 0.131  0.000 0.287 3.555 0.041
SR1704  5.010 1.765 -2.301 0.150 6.011 0.049
SR1707  0.018 0.002 -2.301 0.238 3.083 0.144
SR1709  2.820 0.460 -0.071 0.350 4.659 0.016
SR1710  3.980 0.655  0.477 0.150 5.868 0.079
SR1717 11.200 3.490 -2.000 0.238 6.172 0.022
SR1721  0.028 0.005 -0.699 0.423 3.282 0.138
SR1724  0.631 0.195 -1.301 0.389 4.671 0.136
SR1727  0.025 0.004 -0.523 0.772 3.516 0.118
SR1733  0.016 0.002  0.301 0.111 3.461 0.086
SR1735  1.260 0.230  0.398 0.150 5.597 0.212
SR1740  0.056 0.029 -1.824 0.350 3.390 0.051
SR1741  0.112 0.031 -2.301 0.150 3.673 0.084
SR1742  0.006 0.002  0.301 0.111 3.385 0.069
SR1743  1.120 0.205  0.301 0.150 3.923 0.088
SR1745  0.018 0.003 -1.602 0.122 3.300 0.099
SR1749 12.600 2.760 -2.301 0.238 5.028 0.023
SR1750  2.000 0.705 -2.301 0.238 4.700 0.048
SR1751  0.126 0.045 -2.000 0.301 4.102 0.003
SR1752  0.355 0.169 -2.301 0.238 3.940 0.016
SR1753  1.120 0.205 -2.000 0.301 4.027 0.045
SR1754  0.028 0.004 -0.699 0.213 3.426 0.051
SR1756  1.580 0.370 -2.301 0.238 4.304 0.059
SR1757  0.040 0.007 -1.602 0.122 3.389 0.122
SR1761  3.980 1.765  0.301 0.150 4.845 0.029
SR1763  0.025 0.005 -0.699 0.111 2.792 0.009
SR1764 11.200 2.330 -1.301 0.301 4.717 0.002
SR1765  2.510 0.655 -1.602 0.850 5.517 0.081
SR1766 12.600 3.145 -2.301 0.150 5.118 0.002
SR1767 12.600 3.490 -2.301 0.238 5.054 0.057
SR1770  0.025 0.004 -0.699 0.111 2.766 0.041
SR1773  5.620 2.680 -2.301 0.150 4.704 0.218
SR1774  0.631 0.336 -2.301 0.238 4.078 0.130
SR1776  0.126 0.060 -1.000 0.738 4.137 0.035
SR1779  6.310 2.465 -2.301 0.150 5.824 0.190
SR1781  3.980 1.745 -2.301 0.238 4.887 0.028
SR1784  0.022 0.002  0.477 0.040 3.296 0.056
SR1787 12.600 1.845 -0.301 0.262 6.531 0.359
SR1794  2.820 0.870 -2.301 0.150 4.744 0.028
SR1796  0.447 0.175 -2.000 0.301 4.125 0.116
SR1798  1.580 0.295  0.477 0.040 5.235 0.069
SR1799  1.260 0.290 -0.125 0.287 5.484 0.140
SR1800  0.025 0.005 -0.824 0.772 2.816 0.026
SR1802  0.501 0.116 -0.071 0.350 4.387 0.115
SR1803  2.510 0.655  0.477 0.040 4.500 0.060
SR1806  1.260 0.259 -1.000 0.378 3.811 0.051
SR1811  0.016 0.105  0.477 0.088 2.798 0.071
SR1812  0.004 0.002 -1.602 1.049 3.657 0.032
SR1817  0.020 0.002 -1.602 0.122 2.803 0.124
SR1819  3.160 1.690 -2.000 0.350 5.181 0.017
SR1820  2.820 0.990 -2.301 0.150 5.889 0.145
SR1821  0.025 0.005 -0.699 0.111 3.059 0.026
SR1822  5.620 1.550 -1.602 0.122 5.686 0.046
SR1823  0.794 0.146  0.176 0.199 4.059 0.019
SR1824  1.410 0.230 -1.602 0.122 4.609 0.006
SR1827  0.022 0.004 -1.000 0.238 2.727 0.031
SR1829  1.780 0.465 -2.000 0.350 5.377 0.025
SR1830  0.282 0.087 -0.699 0.650 3.767 0.057
SR1833  0.020 0.011 -2.301 0.238 3.211 0.099
SR1836  0.050 0.018 -1.301 0.223 3.498 0.074
SR1837  0.501 0.116  0.477 0.088 3.592 0.013
SR1841  0.040 0.014 -1.699 0.199 3.366 0.038
SR1843  0.014 0.002  0.477 0.040 2.862 0.095
SR1844  0.018 0.002 -2.301 0.150 3.219 0.121
SR1845  0.071 0.038  0.477 0.389 3.087 0.295
SR1846 12.600 1.845 -0.523 0.650 5.023 0.003
SR1849  0.063 0.022 -0.071 1.000 3.529 0.039
SR1850  1.780 0.550 -2.301 0.238 4.356 0.015
SR1855  0.794 0.219 -1.602 0.122 4.583 0.039
SR1856  0.020 0.002 -0.155 0.262 2.792 0.079
SR1857  0.016 0.002  0.477 0.040 2.838 0.092
SR1859  0.032 0.005 -0.301 0.350 3.815 0.320
SR1866  3.550 1.385 -2.301 0.150 4.946 0.027
SR1867  0.079 0.032 -2.301 0.238 3.596 0.092
